name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons
088d62	Dragonborn	Noble	2018-07-15T21:09:12Z	Fighter 3	Fighter	Battle Master	3		28	18	17	14	14	10	10	10	Neutral/Good	Athletics|Acrobatics|History|Persuasion	Longsword|Handaxe		07 15 18	NG	G	N	Dragonborn		Longsword|Handaxe
088d62	Dragonborn	Noble	2018-08-05T21:43:06Z	Fighter 4	Fighter	Battle Master	4		43	18	17	14	16	10	10	10	Neutral/Good	Athletics|Acrobatics|History|Persuasion	Longsword|Handaxe		08 05 18	NG	G	N	Dragonborn		Longsword|Handaxe
6cd2cc	Half-Orc	Mercenary Veteran	2018-08-12T17:34:18Z	Barbarian 5	Barbarian	Path of the Totem Warrior	5		50	14	18	12	17	8	12	9		Athletics|Perception|Survival|Intimidation|Persuasion	Maul|Handaxe|Javelin		08 12 18		NA	NA	Half-Orc		Maul|Handaxe|Javelin
53a7b8	Human	Haunted One	2018-07-30T19:00:47Z	Bard 3|Warlock 4	Bard|Warlock	College of Swords|The Hexblade	7	Shield Master	24	20	10	15	13	10	10	18	chaotic neutral	Investigation|Perception|Survival|Deception|Performance|Persuasion	Pact Kronksword|Dagger	Eldritch Blast*0|Friends*0|Prestidigitation*0|Message*0|Vicious Mockery*0|Cure Wounds*1|Disguise Self*1|Healing Word*1|Tasha's Hideous Laughter*1|Misty Step*2|Mirror Image*2|Cloud If Daggers*2|Heat Metal*2|Witch Bolt*2|Hellish Rebuke*2	07 30 18	CN	N	C	Human	Eldritch Blast*0|Friends*0|Prestidigitation*0|Message*0|Vicious Mockery*0|Cure Wounds*1|Disguise Self*1|Healing Word*1|Tasha’s Hideous Laughter*1|Misty Step*2|Mirror Image*2|Cloud of Daggers*2|Heat Metal*2	Dagger
73696e	Dragonborn	Soldier	2018-06-24T06:14:27Z	Barbarian 5	Barbarian	Path of the Berserker	5		60	14	20	14	15	8	14	14		Athletics|Perception|Survival|Intimidation	Greataxe|Greatsword|Spear		06 23 18		NA	NA	Dragonborn		Greataxe|Greatsword|Spear
da029c	Goliath	Haunted One	2018-08-29T01:09:10Z	Sorcerer 1	Sorcerer	Wild Magic	1		9	12	18	14	16	14	9	15		Athletics|Arcana|Investigation|Intimidation|Persuasion	Dagger|Dagger		08 28 18		NA	NA	Goliath		Dagger
9a40de	Half-Elf	Urban Bounty Hunter	2018-08-29T01:12:25Z	Rogue 1	Rogue		1		9	15	13	19	12	13	9	18		Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion	Shortsword|Shortsword|Dagger		08 28 18		NA	NA	Half-Elf		Shortsword|Dagger
2b000b	Half-Elf	Hermit	2018-08-29T01:13:24Z	Fighter 1	Fighter		1		9	15	17	18	9	12	11	13		Acrobatics|Religion|Medicine|Perception|Survival|Deception	Longbow|Rapier|Crossbow, light		08 28 18		NA	NA	Half-Elf		Longbow|Rapier|Crossbow, Light
214b4a	Human	City Watch	2018-06-23T20:44:39Z	Barbarian 6	Barbarian	Path of the Totem Warrior	6	Shield Master	1	16	18	14	14	8	10	12	CN	Athletics|Sleight of Hand|Perception|Deception|Intimidation	Warhammer|Handaxe|Crossbow, heavy|Longspear, silver|Bloodspear		06 23 18	CN	N	C	Human		Warhammer|Handaxe|Crossbow, Heavy|Spear
3778bb	Lineage - Mamm	Noble	2018-07-27T01:42:51Z	Warlock 10	Warlock	The Hexblade	10		73	18	10	16	14	11	10	18	true neutral	Arcana|History|Investigation|Persuasion	Crossbow, light|Dagger|+2 Hex Rapier X2	Mage Hand(race)*0|Eldritch Blast*0|Toll the dead*0|Chill Touch*0|Presti*0|Shield*1|Armor Of Agathys*1|Hellish Rebuke*1|Floating Disk(1/day)*1|Unseen Servant(R)*1|Arcane Lock (1/day)*2|Misty Step*2|Mirror Image*2|Gaseous Form*3|Shadow Of Moil*4|Sickening Radiance*4|Negative energy Flood *5|Far Step*5	07 26 18	NN	N	N	Tiefling	Mage Hand*0|Eldritch Blast*0|Toll the Dead*0|Chill Touch*0|Shield*1|Armor of Agathys*1|Hellish Rebuke*1|Unseen Servant*1|Arcane Lock*2|Misty Step*2|Mirror Image*2|Gaseous Form*3|Shadow of Moil*4|Sickening Radiance*4|Negative Energy Flood*5|Far Step*5	Crossbow, Light|Dagger|Rapier
fca96f	Dragonborn	Faction Agent	2018-06-23T09:03:05Z	Sorcerer 8	Sorcerer	Draconic Bloodline	8	Elemental Adept	66	16	13	17	16	12	14	19		Arcana|Insight|Persuasion	Crossbow, light|Dagger|Quarterstaff	Fire Bolt*0|Shocking Grasp*0|Acid Splash*0|Ray Of Frost*0|Shield*1|Sleep*1|Magic Missle*1|Ice Knife*1|Mirror Image*2|Enhance Ability*2|Misty Step*2|Hypnotic Pattern*3|Haste*3|Blink*3|Banishment*4|Polymorph*4	06 23 18		NA	NA	Dragonborn	Fire Bolt*0|Shocking Grasp*0|Acid Splash*0|Ray of Frost*0|Shield*1|Sleep*1|Magic Missile*1|Ice Knife*1|Mirror Image*2|Enhance Ability*2|Misty Step*2|Hypnotic Pattern*3|Haste*3|Blink*3|Banishment*4|Polymorph*4	Crossbow, Light|Dagger|Quarterstaff
247f43	Wood Elf	Acolyte	2018-07-03T00:26:52Z	Ranger 3|Warlock 7	Ranger|Warlock	Beast Master|The Great Old One	10		77	15	15	19	15	15	16	17		Stealth|Nature|Religion|Animal Handling|Insight|Perception|Deception|Persuasion	Dagger|Longbow|Quarterstaff|Dagger	Blade Ward*0|Poison Spray*0|Eldritch Blast*0|Hold Person*1|Mirror Image*1|Scorching Ray*1|Misty Step*2|Dimension Door*4|Greater Invisibility *4	07 02 18		NA	NA	Elf	Blade Ward*0|Poison Spray*0|Eldritch Blast*0|Misty Step*2|Dimension Door*4|Greater Invisibility*4	Dagger|Longbow|Quarterstaff
fca96f	Dragonborn	Faction Agent	2018-06-22T10:38:26Z	Sorcerer 8	Sorcerer	Draconic Bloodline	8	Elemental Adept	66	16	13	17	16	12	14	19		Arcana|Insight|Persuasion	Crossbow, light|Dagger		06 22 18		NA	NA	Dragonborn		Crossbow, Light|Dagger
6509d0	Lightfoot Halfling	Acolyte	2018-08-31T02:26:29Z	Cleric 1	Cleric	Life Domain	1		9	17	16	13	13	13	16	8		Religion|Insight|Medicine|Persuasion	Mace	Bless*1|Cure Wounds*1	08 30 18		NA	NA	Halfling	Bless*1|Cure Wounds*1	Mace
c90f9b	Human	Soldier	2018-09-05T00:26:42Z	Fighter 3	Fighter	Champion	3		28	16	16	15	15	12	13	12		Athletics|Acrobatics|Perception|Intimidation	Greataxe|Lance|Crossbow, light		09 04 18		NA	NA	Human		Greataxe|Lance|Crossbow, Light
94abff	Aarakocra	Far Traveler	2018-06-16T20:24:15Z	Cleric 1	Cleric	Arcana Domain	1		51	18	10	16	12	18	12	8	Chaotic Nuetral	Sleight of Hand|Arcana|Investigation|Insight|Perception	Handaxe|Light hammer|Crossbow, light|THUNDER CANNON	Mend*0|Detect Magic*1|Magic Missile*1	06 16 18	CN	N	C	Aarakocra	Mending*0|Detect Magic*1|Magic Missile*1	Handaxe|Light hammer|Crossbow, Light
4a0374	Tabaxi	Urban Bounty Hunter	2018-08-10T19:41:23Z	Rogue 3|Warlock 2	Rogue|Warlock	Assassin|The Hexblade	5		44	19	15	20	15	16	14	18	LE	Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion	Falcatta|LONGBOW|Dagger	Eldritch Blast*0|Prestigitation *0|Shield*1|Wrathful Smite*1|Inflict Wounds*1|Arms Of Hadar*1|R Find Familiar*1	08 10 18	LE	E	L	Tabaxi	Eldritch Blast*0|Prestidigitation*0|Shield*1|Wrathful Smite*1|Inflict Wounds*1|Arms of Hadar*1|Find Familiar*1	Longbow|Dagger
2060ca	Human	Soldier	2018-06-21T04:11:26Z	Paladin 15	Paladin	Oath of Vengeance	15	Polearm Master|Great Weapon Master|Resilient	169	18	25	10	18	8	13	17		Athletics|Insight|Perception|Intimidation|Persuasion	Halberd +1|Javelin|Halberd +1 GWM	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	06 20 18		NA	NA	Human	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4	Halberd|Javelin
cd6bd2	Human	Soldier	2018-06-15T03:56:44Z	Barbarian 15	Barbarian	Path of the Totem Warrior	15	Sentinel|Polearm Master	201	20	25	18	18	8	12	10		Athletics|Nature|Perception|Survival|Intimidation	Halberd|Handaxe|Javelin|Halberd Butt		06 14 18		NA	NA	Human		Halberd|Handaxe|Javelin
de118c	Human	Pirate	2018-06-19T03:14:30Z	Barbarian 15	Barbarian	Path of the Totem Warrior	15	Sentinel|Polearm Master	201	20	25	18	18	8	12	10	Chaotic Good	Athletics|Stealth|Perception|Survival|Intimidation	Handaxe|Battleaxe +1|Longbow|Battleaxe +1 Rage		06 18 18	CG	G	C	Human		Handaxe|Battleaxe|Longbow
c9d2a7	Aarakocra	Soldier	2018-06-10T19:49:45Z	Revised Ranger 5	Revised Ranger	Hunter Conclave	5		44	15	10	18	15	12	14	8		Athletics|Insight|Perception|Survival|Intimidation	Shortsword|Longbow		06 10 18		NA	NA	Aarakocra		Shortsword|Longbow
69879d	Mountain Dwarf	Knight	2018-06-06T03:21:56Z	Paladin 1	Paladin		1		13	17	17	8	16	10	12	13		Athletics|History|Religion|Persuasion	Longsword|Javelin		06 05 18		NA	NA	Dwarf		Longsword|Javelin
0b47da	Tiefling	Noble	2018-08-05T00:50:06Z	Sorcerer 9	Sorcerer	Revised Favored Soul	9	Ritual Caster	47	10	8	10	12	16	13	18	Neutral Good	Arcana|History|Deception|Persuasion	Quarterstaff|Dagger	Mending*0|Spare The Dying*0|Fire Bolt*0|Guidance*0|Thaumaturgy*0|Cure Wounds*1|Disguise Self*1|Chaos Bolt*1|Identify*1|Detect Magic*1|Suggestion*2|Spiritual Weapon*2|Fireball*3|Mass Healing Word*3|Banishment*4|Vitrolic Sphere*4|Polymorph*4|Hold Monster*5	08 04 18	NG	G	N	Tiefling	Mending*0|Spare the Dying*0|Fire Bolt*0|Guidance*0|Thaumaturgy*0|Cure Wounds*1|Disguise Self*1|Chaos Bolt*1|Identify*1|Detect Magic*1|Suggestion*2|Spiritual Weapon*2|Fireball*3|Mass Healing Word*3|Banishment*4|Vitriolic Sphere*4|Polymorph*4|Hold Monster*5	Quarterstaff|Dagger
b1d9f2	Orc	Soldier	2018-07-21T02:43:08Z	Fighter 1	Fighter		1		13	16	19	15	16	9	11	11		Athletics|Acrobatics|Perception|Intimidation	Scimitar|Shortsword|Handaxe		07 20 18		NA	NA	Orc		Scimitar|Shortsword|Handaxe
3b3698	Dragonborn	Acolyte	2018-08-31T04:24:01Z	Warlock 3|Bard 2	Warlock|Bard	The Celestial|	5		36	13	10	14	13	10	12	16	Chaotic good	Religion|Insight|Deception|Intimidation|Performance	Dagger|Dagger	Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Vicious Mockery*0|True Strike*0|Sleep*1|Tasha's Hideous Laughter*1|Witch Bolt*1|Detect Magic*1|Disguise Self*1|Cure Wounds*1|Thunderwave*1|Guiding Bolt*1|Charm Person*1|Shadow Blade*2|Flaming Sphere*2|Lesser Restoration*2	08 30 18	CG	G	C	Dragonborn	Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Vicious Mockery*0|True Strike*0|Sleep*1|Tasha’s Hideous Laughter*1|Witch Bolt*1|Detect Magic*1|Disguise Self*1|Cure Wounds*1|Thunderwave*1|Guiding Bolt*1|Charm Person*1|Shadow Blade*2|Flaming Sphere*2|Lesser Restoration*2	Dagger
e42d71	Lizardfolk	Pirate	2018-09-02T02:45:51Z	Monk 1	Monk		1		8	16	16	16	11	11	16	13		Acrobatics|Stealth|Insight|Deception|Intimidation	Dart|Bite|Rapier|Dao Sword		09 01 18		NA	NA	Lizardfolk		Dart|Rapier
01c75e	Goliath	Outlander	2018-08-04T02:12:03Z	Barbarian 3	Barbarian	Path of the Berserker	3		38	15	17	13	18	12	13	14		Athletics|Animal Handling|Survival|Intimidation	Greataxe|Handaxe|Javelin		08 03 18		NA	NA	Goliath		Greataxe|Handaxe|Javelin
cefbd5	Turtle	Knight	2018-07-06T03:50:26Z	Paladin 1	Paladin		1		11	14	17	14	13	10	15	18	Lawful Good	Athletics|Nature|Medicine|Survival|Persuasion	Greataxe|Maul|Unarmed Strike		07 05 18	LG	G	L	Turtle		Greataxe|Maul|Unarmed Strike
9ea1e2	Human	Knight	2018-07-06T03:09:37Z	Paladin 1	Paladin		1		11	14	18	15	14	9	11	18		Athletics|Nature|Intimidation|Persuasion	Greatsword|Maul|Handaxe		07 05 18		NA	NA	Human		Greatsword|Maul|Handaxe
cefbd5	Turtle	Knight	2018-07-07T05:17:24Z	Paladin 1	Paladin		1		11	14	17	14	13	10	15	18	Lawful Good	Athletics|Nature|Medicine|Survival|Persuasion	Greataxe|Maul|Unarmed Strike		07 06 18	LG	G	L	Turtle		Greataxe|Maul|Unarmed Strike
db822a	Water Genasi	Acolyte	2018-08-12T18:25:12Z	Paladin 9	Paladin	Oath of Ancients	9		110	17	15	14	16	10	14	13		Athletics|Religion|Insight|Persuasion	Javelin	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3	08 12 18		NA	NA	Genasi	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3	Javelin
ffbd6e	Human	Criminal	2018-08-04T22:17:47Z	Sorcerer 6|Warlock 2	Sorcerer|Warlock	Shadow Magic|The Hexblade	8	War Caster	52	16	8	14	14	10	12	18	CN	Stealth|Insight|Perception|Deception|Persuasion	Quarterstaff|Dagger|Eldritch|Eldritch Hex|Eldritch Hex Curse	Eldritch Blast*0|Chill Touch*0|Light*0|Friend *0|Green Flame Blade*0|Minor Illusion*0|Mage Hand *0|Expedtion Retreat*1|Hex*1|Arms Of Hadar*1|Shield *1|Wraful Smite*1|Feather Fall*1|Charm Person*1|Darkness*1|Invisibility*2|Mirror Image*2|Fireball*3|Counterspell*3|Haste*3	08 04 18	CN	N	C	Human	Eldritch Blast*0|Chill Touch*0|Light*0|Friends*0|Green-Flame Blade*0|Minor Illusion*0|Mage Hand*0|Expeditious Retreat*1|Hex*1|Arms of Hadar*1|Shield*1|Wrathful Smite*1|Feather Fall*1|Charm Person*1|Invisibility*2|Mirror Image*2|Fireball*3|Counterspell*3|Haste*3	Quarterstaff|Dagger
f797bc	Wood Elf	Clan Crafter	2018-06-21T02:25:11Z	Rogue 3	Rogue	Assassin	3		24	14	8	17	14	8	13	14		Stealth|History|Investigation|Insight|Perception|Deception|Performance	Rapier|Shortbow|Dagger		06 20 18		NA	NA	Elf		Rapier|Shortbow|Dagger
668c23	Half-Orc	Barbarian Tribe Member	2018-08-16T21:47:31Z	Fighter 3|Barbarian 9	Fighter|Barbarian	Champion|Path of the Berserker	12		133	16	19	15	18	8	8	8	cn	Athletics|Animal Handling|Perception|Survival|Intimidation	Greataxe|Longsword|Handaxe|Greatsword		08 16 18	CN	N	C	Half-Orc		Greataxe|Longsword|Handaxe|Greatsword
b875b2	Dark Elf	Acolyte	2018-08-26T22:42:42Z	Wizard 12|Fighter 1	Wizard|Fighter	School of Necromancy|	13		82	15	8	18	15	20	8	9		Arcana|History|Religion|Insight|Perception	Quarterstaff	Light*0|Mage Hand*0|Acid Splash*0|Chill Touch*0|Mending*0|Poison Spray*0|Inflict Wounds*1|Mage Armor*1|Ray Of Sickness*1|Thunderwave*1|Jump*1|Charm Person*1|Magic Missile*2|Continual Flame*2|Acid Arrow*2|Alter Self*2|Arcanist's Magic Aura*2|Animate Dead*3|Tiny Hut*3|Vampiric Touch *3|Lightning Bolt*3|Fireball*3|Arcane Eye*4|Black Tentacles *4|Phantasmal Killer*4|Shadow Of Moil*4|Conjure Minor Elementals*4|Wall Of Force*5|Teleportation Circle*5|Geas*5|Cloudkill*5|Circle Of Death*6|Disintegrate *6	08 26 18		NA	NA	Elf	Light*0|Mage Hand*0|Acid Splash*0|Chill Touch*0|Mending*0|Poison Spray*0|Inflict Wounds*1|Mage Armor*1|Ray of Sickness*1|Thunderwave*1|Jump*1|Charm Person*1|Continual Flame*2|Alter Self*2|Nystul’s Magic Aura*2|Animate Dead*3|Vampiric Touch*3|Lightning Bolt*3|Fireball*3|Arcane Eye*4|Phantasmal Killer*4|Shadow of Moil*4|Conjure Minor Elementals*4|Wall of Force*5|Teleportation Circle*5|Geas*5|Cloudkill*5|Circle of Death*6|Disintegrate*6	Quarterstaff
668c23	Half-Orc	Barbarian Tribe Member	2018-08-04T14:05:22Z	Fighter 3|Barbarian 8	Fighter|Barbarian	Champion|Path of the Berserker	11		152	16	19	15	18	8	8	8	cn	Athletics|Animal Handling|Perception|Survival|Intimidation	Greataxe|Longsword|Handaxe|Greatsword		08 04 18	CN	N	C	Half-Orc		Greataxe|Longsword|Handaxe|Greatsword
75040a	Goblin	Criminal	2018-06-24T13:27:55Z	Rogue 7|Revised Ranger 5	Rogue|Revised Ranger	Assassin|Beast Conclave	12		29	16	8	19	14	14	8	16		Sleight of Hand|Stealth|Investigation|Perception|Survival|Deception|Performance	Rapier|Shortbow|Dagger|Scimitar	Ensnaring Strike*1|Hail Of Thorns*1|Hunters Mark*1|Cure Wounds*1|Corden Of Arrows*2|Pass Without A Trace*2	06 24 18		NA	NA	Goblin	Ensnaring Strike*1|Hail of Thorns*1|Hunter’s Mark*1|Cure Wounds*1|Cordon Of Arrows*2|Pass Without Trace*2	Rapier|Shortbow|Dagger|Scimitar
75040a	Goblin	Criminal	2018-06-16T01:12:10Z	Rogue 7|Revised Ranger 5	Rogue|Revised Ranger	Assassin|Beast Conclave	12		112	15	8	19	14	14	8	16		Sleight of Hand|Stealth|Investigation|Perception|Survival|Deception|Performance	Rapier|Shortbow|Dagger	Ensnaring Strike*1|Hail Of Thorns*1|Hunters Mark*1|Corden Of Arrows*2|Pass Without A Trace*2	06 15 18		NA	NA	Goblin	Ensnaring Strike*1|Hail of Thorns*1|Hunter’s Mark*1|Cordon Of Arrows*2|Pass Without Trace*2	Rapier|Shortbow|Dagger
51b400	Dragonborn	Urban Bounty Hunter	2018-08-11T03:30:50Z	Ranger 2	Ranger		2		16	16	16	16	10	13	14	15		Athletics|Stealth|Investigation|Insight|Perception	Shortsword|Longbow		08 10 18		NA	NA	Dragonborn		Shortsword|Longbow
5528fb	Human	Criminal	2018-07-24T18:41:14Z	Fighter 8|Cleric 1	Fighter|Cleric	Battle Master|Forge Domain	9	Crossbow Expert|Sharpshooter|Resilient	84	17	9	20	17	11	13	12	lawful neutral	Stealth|Insight|Perception|Intimidation|Persuasion	Longbow|Crossbow, hand|Dagger|Sling|Greatsword Of Life|Net	Mending*0|Resistance*0|Thaumaturgy*0|Identify*1|Searing Smite*1|Bless*1|Healing Word*1	07 24 18	LN	N	L	Human	Mending*0|Resistance*0|Thaumaturgy*0|Identify*1|Searing Smite*1|Bless*1|Healing Word*1	Longbow|Crossbow, hand|Dagger|Sling|Greatsword|Net
05948f	Forest Gnome	Folk Hero	2018-06-05T14:25:25Z	Fighter 2	Fighter		2		20	16	15	12	14	15	10	9	Chaotic Good	Athletics|Animal Handling|Perception|Survival	Lance|Handaxe		06 05 18	CG	G	C	Gnome		Lance|Handaxe
27043c	Half-Elf	Entertainer	2018-06-29T23:26:36Z	Bard 1	Bard		1		10	14	8	16	14	12	10	16	neutral good	Acrobatics|Arcana|Insight|Perception|Deception|Performance	Rapier|Dagger	Minor Illusion*0|Vicious Mockery*0|Charm Person*1|Faerie Fire*1|Healing Word*1	06 29 18	NG	G	N	Half-Elf	Minor Illusion*0|Vicious Mockery*0|Charm Person*1|Faerie Fire*1|Healing Word*1	Rapier|Dagger
18b6f8	High Elf	Criminal	2018-06-29T23:21:07Z	Rogue 2	Rogue		2		15	15	8	17	12	15	13	10		Athletics|Acrobatics|Stealth|Investigation|Insight|Perception|Deception	Rapier|Shortbow|Dagger	Mage Hand*0	06 29 18		NA	NA	Elf	Mage Hand*0	Rapier|Shortbow|Dagger
b45638	Protector Aasimar	Acolyte	2018-07-29T06:05:48Z	Sorcerer 1	Sorcerer	Divine Soul	1		6	11	8	12	14	12	14	21		Arcana|Religion|Insight|Persuasion	Crossbow, light|Dagger	Cure Wounds*1	07 28 18		NA	NA	Aasimar	Cure Wounds*1	Crossbow, Light|Dagger
973ebc	Earth Genasi	Knight	2018-06-18T20:19:05Z	Paladin 9	Paladin	Oath of Devotion	9	Sentinel|Mounted Combatant	121	21	13	13	18	12	11	16	Lawful Neutral	Arcana|Religion|Medicine|Persuasion	Halberd|Halberd|Handaxe|CleaverDagger|Warhammer|Shield Blade	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3	06 18 18	LN	N	L	Genasi	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3	Halberd|Handaxe|Dagger|Warhammer
d6525c	Wood Elf	Urchin	2018-08-30T01:02:20Z	Rogue 3	Rogue	Assassin	3		24	16	11	20	12	13	14	12		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		08 29 18		NA	NA	Elf		Rapier|Shortbow|Dagger
790664	Human	Entertainer	2018-07-23T06:09:04Z	Monk 1	Monk		1	Mobile	8	13	13	17	10	13	10	12		Athletics|Acrobatics|Stealth|Deception|Performance	Dagger|Dart|Unarmed strike		07 22 18		NA	NA	Human		Dagger|Dart|Unarmed Strike
4dd432	Aarakocra	City Watch	2018-08-05T18:27:53Z	Rogue 1	Rogue		1		10	16	9	18	10	12	14	14		Athletics|Investigation|Insight|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		08 05 18		NA	NA	Aarakocra		Rapier|Shortbow|Dagger
c3ddc7	Triton	Barbarian Tribe Member	2018-08-26T20:37:31Z	Barbarian 7	Barbarian	Path of the Storm Herald	7		98	21	16	16	20	12	8	12	CG	Athletics|Animal Handling|Survival|Intimidation	Trident Of Fish Command|2 Hand Tri	Fog Cloud*1|Gust Of Wind*2|Wall Of Water*3	08 26 18	CG	G	C	Triton	Fog Cloud*1|Gust of Wind*2|Wall of Water*3	Trident
5ce2f3	Goblin	Outlander	2018-08-31T23:29:56Z	Rogue 2	Rogue		2		17	14	8	17	14	14	12	10	chaotic neutral	Athletics|Sleight of Hand|Stealth|Investigation|Perception|Survival	Shortsword|Shortbow|Dagger		08 31 18	CN	N	C	Goblin		Shortsword|Shortbow|Dagger
ceb9fb	Dark Elf	Entertainer	2018-07-22T16:40:16Z	Bard 5	Bard	College of Swords	5	Crossbow Expert	40	14	10	17	11	10	10	16		Athletics|Acrobatics|Medicine|Perception|Intimidation|Performance	Crossbow, Light|Dagger	Blade Ward*0|Vicious Mockery*0|Minor Illusion*0|Healing Word*1|Heroisim*1|Sleep*1|Cloud Of Daggers*2|Blindness/Deafness*2|Enemies Abound*3	07 22 18		NA	NA	Elf	Blade Ward*0|Vicious Mockery*0|Minor Illusion*0|Healing Word*1|Heroism*1|Sleep*1|Cloud of Daggers*2|Blindness/Deafness*2|Enemies Abound*3	Crossbow, Light|Dagger
015c58	Human	Sailor	2018-07-30T14:14:56Z	Monk 1	Monk		1		9	16	12	16	13	10	16	10		Athletics|Stealth|Insight|Perception	Shortsword|Dart|Unarmed strike		07 30 18		NA	NA	Human		Shortsword|Dart|Unarmed Strike
2b2537	Turtle	Hermit	2018-08-24T22:16:10Z	Monk 8	Monk	Way of the Four Elements	8		57	18	13	20	13	11	16	9		Athletics|Stealth|Religion|Medicine|Survival	Shortsword|Dart|Unarmed strike		08 24 18		NA	NA	Turtle		Shortsword|Dart|Unarmed Strike
12e34e	Forest Gnome	Outlander	2018-08-15T12:29:30Z	Monk 1	Monk		1		10	17	14	18	15	14	16	13		Athletics|Acrobatics|Stealth|Survival	Quarterstaff|Dart|Unarmed Strike		08 15 18		NA	NA	Gnome		Quarterstaff|Dart|Unarmed Strike
a22394	Yuan-Ti	Charlatan	2018-08-28T02:28:49Z	Cleric 1	Cleric	Trickery Domain	1		9	18	8	15	13	13	14	12	Chaotic Good	Sleight of Hand|Religion|Medicine|Deception	Mace|Sickle	Mending*0|Spare The Dying*0|Sacred Flame*0|Charm Person*1|Disguise Self*1	08 27 18	CG	G	C		Mending*0|Spare the Dying*0|Sacred Flame*0|Charm Person*1|Disguise Self*1	Mace|Sickle
543a4c	Human	Urchin	2018-07-11T17:08:23Z	Rogue 1	Rogue		1	Skulker	7	14	10	16	8	12	13	15	Chaotic Neutral	Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Persuasion	Rapier|Shortbow|Dagger		07 11 18	CN	N	C	Human		Rapier|Shortbow|Dagger
d5f08c	Human	Sailor	2018-07-23T00:30:54Z	Monk 5	Monk	Way of the Open Hand	5	Lucky	44	15	13	18	15	10	12	8		Athletics|Acrobatics|Insight|Perception	Quarterstaff|Dart|Unarmed strike		07 22 18		NA	NA	Human		Quarterstaff|Dart|Unarmed Strike
3716ff	Dragonborn	Outlander	2018-08-19T05:32:34Z	Barbarian 3	Barbarian	Path of the Storm Herald	3		33	14	17	12	15	10	10	10		Athletics|Nature|Survival|Intimidation	Greataxe|Handaxe|Javelin		08 18 18		NA	NA	Dragonborn		Greataxe|Handaxe|Javelin
c22cbc	Dragonborn	Haunted One	2018-07-06T07:02:32Z	Fighter 16	Fighter	Battle Master	16		216	16	20	20	20	14	14	14		Athletics|History|Investigation|Survival	Shortsword|Shortsword|		07 06 18		NA	NA	Dragonborn		Shortsword
4ac8d5	Dragonborn	Soldier	2018-08-15T13:39:06Z	Paladin 10	Paladin	Oath of Vengeance	10	Tough	94	18	18	12	13	10	8	16		Athletics|Insight|Medicine|Intimidation	Longsword|Javelin	Bane*1|Hunter’s Mark*1|Cure Wounds*1|Thuderous Smite*1|Hold Person*2|Misty Step*2|Cure Wounds*2|Haste*3|Cure Wounds*3	08 15 18		NA	NA	Dragonborn	Bane*1|Hunter’s Mark*1|Cure Wounds*1|Thunderous Smite*1|Hold Person*2|Misty Step*2|Haste*3	Longsword|Javelin
088d62	Dragonborn	Noble	2018-06-30T22:10:00Z	Fighter 2	Fighter		2		20	18	17	14	14	10	10	10	Neutral/Good	Athletics|Acrobatics|History|Persuasion	Longsword|Handaxe		06 30 18	NG	G	N	Dragonborn		Longsword|Handaxe
6ebc3d	Half-Elf	Outlander	2018-06-24T16:15:42Z	Paladin 4	Paladin	Oath of Devotion	4		47	18	18	14	14	11	14	18		Athletics|Animal Handling|Perception|Survival	Longsword|Warhammer|Quarterstaff|Longbow	Protection from Evil and Good*1|Sanctuary*1	06 24 18		NA	NA	Half-Elf	Protection from Evil and Good*1|Sanctuary*1	Longsword|Warhammer|Quarterstaff|Longbow
